user_name,youtube_total_comments,youtube_positive_count,youtube_positive_pct,youtube_negative_count,youtube_negative_pct,youtube_neutral_count,youtube_neutral_pct,youtube_sentiment_score,tiktok_total_comments,tiktok_positive_count,tiktok_positive_pct,tiktok_negative_count,tiktok_negative_pct,tiktok_neutral_count,tiktok_neutral_pct,tiktok_sentiment_score,global_score
 نورة في المطبخ // Noura à la Cuisine,145.0,129.0,88.97,3.0,2.07,13.0,8.97,84.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.52
A.L.A,300.0,236.0,78.67,19.0,6.33,45.0,15.0,72.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33
ALMA ESBEYE,217.0,192.0,88.48,7.0,3.23,18.0,8.29,85.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.25
AMYNE Vlogs,300.0,180.0,60.0,36.0,12.0,84.0,28.0,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.63
ANAS GAMEZZZ,300.0,197.0,65.67,33.0,11.0,70.0,23.33,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6
Abdelkader Garchi,11.0,10.0,90.91,0.0,0.0,1.0,9.09,85.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.12
Achref ouerghemmi  📸🎶,28.0,28.0,100.0,0.0,0.0,0.0,0.0,98.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.62
Adhreb Aandi,239.0,202.0,84.52,7.0,2.93,30.0,12.55,81.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.59
Ahmed Hajji أحمد الحاجي,300.0,217.0,72.33,27.0,9.0,56.0,18.67,60.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.77
Ahmed Riabi,300.0,202.0,67.33,41.0,13.67,57.0,19.0,53.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.67
Aicha Attia,250.0,212.0,84.8,13.0,5.2,25.0,10.0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6
Akram Mag    اكرم ماج     اكرم ماق ,104.0,92.0,88.46,5.0,4.81,7.0,6.73,83.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.65
Ali TGTV | علي تي جي تي في,479.0,313.0,65.34,46.0,9.6,120.0,25.05,54.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91
Amal Amamou,11.0,9.0,81.82,0.0,0.0,2.0,18.18,81.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.82
Amani Swissi,300.0,221.0,73.67,37.0,12.33,42.0,14.0,59.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.94
Ameen,300.0,207.0,69.0,45.0,15.0,48.0,16.0,50.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.87
Aminematue,300.0,134.0,44.67,100.0,33.33,66.0,22.0,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33
Anissa Daoud,15.0,6.0,40.0,3.0,20.0,6.0,40.0,19.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67
Areej Ay,99.0,96.0,96.97,0.0,0.0,3.0,3.03,93.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.51
Asma Baklouti Recipes,214.0,146.0,68.22,24.0,11.21,44.0,20.56,55.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.48
Asma Othmani Official,300.0,250.0,83.33,21.0,7.0,29.0,9.67,76.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.33
Assiarabian,300.0,208.0,69.33,28.0,9.33,64.0,21.33,57.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.97
Assiatique,281.0,209.0,74.38,18.0,6.41,54.0,19.22,65.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.39
Aya Naccache ,300.0,284.0,94.67,1.0,0.33,15.0,5.0,94.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.33
Aymen Lessigue,300.0,258.0,86.0,20.0,6.67,22.0,7.33,79.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.33
Azer zaouali,25.0,22.0,88.0,2.0,8.0,1.0,4.0,79.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63
Aziz - عزيز,300.0,185.0,61.67,45.0,15.0,70.0,23.33,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.67
Azza Chakroun,12.0,6.0,50.0,2.0,16.67,4.0,33.33,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25
Baha Kefi - بهاء الكافي ,218.0,198.0,90.83,9.0,4.13,11.0,5.05,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7
Bassem Chatteli,20.0,16.0,80.0,1.0,5.0,3.0,15.0,74.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.72
Bassem Hamraoui,300.0,225.0,75.0,42.0,14.0,33.0,11.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
Bayrem,300.0,228.0,76.0,32.0,10.67,40.0,13.33,63.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.45
Beki’s world | عالم بيكي,300.0,217.0,72.33,26.0,8.67,57.0,19.0,63.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.67
Belle et Gourmande,82.0,58.0,70.73,13.0,15.85,11.0,13.41,54.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.88
Chirine Lajmi,300.0,254.0,84.67,15.0,5.0,31.0,10.33,79.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.67
Coucou les gourmands,119.0,86.0,72.27,5.0,4.2,28.0,23.53,68.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.07
Cuisine Tunisienne مطبخ منيرة أم يقين,300.0,267.0,89.0,1.0,0.33,32.0,10.67,86.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.57
Cuisine leila ben lazher المطبخ التونسي ليلى,286.0,228.0,79.72,28.0,9.79,30.0,10.49,67.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.88
DANJER,95.0,82.0,86.32,1.0,1.05,12.0,12.63,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5
DEMONEXION,300.0,215.0,71.67,22.0,7.33,63.0,21.0,60.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24
